dataset,data_type,size,resolution_scale,average_fps,low10_fps,low1_fps,std_dev,Mrps,average_jumps,internal_nodes,memory_usage,dimensionality,voxel_count
city,matrix,512,0.20,9.28,2.00,2.00,17.73,0.30,163.49,,2147483648.00,,1690119
city,octree,64,0.20,37.02,20.50,3.00,16.29,1.35,6.62,6682,2653040.00,2.45,23466
city,octree,128,0.20,27.07,11.53,1.00,8.90,0.99,8.96,30151,11050000.00,2.40,95417
city,octree,256,0.20,21.29,1.00,1.00,10.32,0.78,10.83,126693,45573544.00,2.36,391188
city,octree,512,0.20,21.50,13.97,13.00,8.26,0.69,10.81,527287,195131744.00,2.33,1690119
city,octree,1024,0.20,2.30,0.00,0.00,5.58,0.08,87.17,2239478,858129728.00,2.32,7511996
city,k3-tree,64,0.20,21.76,14.27,13.33,10.13,0.78,6.49,1321,227072.00,2.45,23466
city,k3-tree,128,0.20,15.48,10.70,9.00,4.57,0.55,8.65,6682,1020928.00,2.40,95417
city,k3-tree,256,0.20,12.87,8.43,8.00,4.30,0.46,9.83,30331,4299776.00,2.36,391188
city,k3-tree,512,0.20,10.31,6.83,6.00,3.63,0.34,11.30,127868,17899008.00,2.33,1690119
city,k3-tree,1024,0.20,8.25,6.00,6.00,2.13,0.22,12.65,530150,75906816.00,2.32,7511996
horse,matrix,64,0.20,61.92,36.77,31.67,26.20,2.29,41.01,,4194304.00,,7067
horse,matrix,128,0.20,36.49,16.97,15.00,26.21,1.32,72.43,,33554432.00,,29341
horse,matrix,256,0.20,16.41,4.80,4.00,20.16,0.54,120.69,,268435456.00,,146811
horse,matrix,512,0.20,5.38,2.00,2.00,8.10,0.20,233.11,,2147483648.00,,900236
horse,octree,64,0.20,45.39,27.30,22.00,11.89,1.64,6.27,2275,822112.00,2.24,7067
horse,octree,128,0.20,38.77,21.93,18.33,11.52,1.39,7.06,9448,3413448.00,2.22,29341
horse,octree,256,0.20,34.10,17.27,14.00,11.48,1.21,7.74,42450,16654984.00,2.23,146811
horse,octree,512,0.20,30.06,14.13,9.00,10.32,1.03,8.35,215447,98180120.00,2.27,900236
horse,octree,1024,0.20,26.84,11.60,7.67,9.20,0.73,8.88,1245465,661320576.00,2.33,6269541
horse,k3-tree,64,0.20,27.85,15.50,13.00,8.00,1.01,6.23,521,79872.00,2.24,7067
horse,k3-tree,128,0.20,24.00,12.27,8.67,7.33,0.85,7.00,2290,323072.00,2.22,29341
horse,k3-tree,256,0.20,20.36,8.20,6.33,7.03,0.72,7.64,9878,1440000.00,2.23,146811
horse,k3-tree,512,0.20,17.74,7.07,5.00,6.94,0.60,8.17,45666,7262208.00,2.27,900236
horse,k3-tree,1024,0.20,15.76,6.13,5.00,5.55,0.43,8.67,231677,41711104.00,2.33,6269541
cube,matrix,64,0.20,108.26,64.50,57.33,18.84,4.55,8.68,,4194304.00,,147424
cube,matrix,128,0.20,89.76,36.33,29.00,29.06,3.12,16.51,,33554432.00,,763678
cube,matrix,256,0.20,56.25,15.67,11.33,29.74,1.57,30.51,,268435456.00,,3272261
cube,matrix,512,0.20,27.86,4.53,4.00,21.31,0.55,50.82,,2147483648.00,,13295419
cube,octree,64,0.20,64.05,26.90,12.00,26.60,2.18,2.32,24777,15153704.00,2.87,147424
cube,octree,128,0.20,44.02,15.97,4.00,21.15,1.43,3.73,172295,82365640.00,2.81,763678
cube,octree,256,0.20,41.74,13.03,2.00,19.00,1.13,3.81,936985,370413664.00,2.73,3272261
cube,octree,512,0.20,28.84,14.20,12.00,12.54,0.52,5.36,4212779,1540721408.00,2.67,13295419
cube,octree,1024,0.20,25.57,11.77,9.33,10.83,0.20,5.70,17515208,6272782848.00,2.62,53766415
cube,k3-tree,64,0.20,39.82,16.63,14.00,19.26,1.36,2.24,3785,825856.00,2.87,147424
cube,k3-tree,128,0.20,28.97,10.97,10.00,14.43,0.92,3.15,24787,5714432.00,2.81,763678
cube,k3-tree,256,0.20,24.78,10.27,9.00,11.00,0.66,3.49,172468,31365632.00,2.73,3272261
cube,k3-tree,512,0.20,16.93,6.93,6.33,8.94,0.30,4.75,937806,142313984.00,2.67,13295419
cube,k3-tree,1024,0.20,16.40,5.87,5.00,7.45,0.12,4.44,4214140,594202624.00,2.62,53766415
